iter	RMSE
0	7.249990872
1	6.860784063
2	6.532668742
3	6.236100477
4	5.987891585
5	5.745466986
6	5.539668481
7	5.369604682
8	5.188491222
9	5.011244294
10	4.881460698
11	4.745885192
12	4.670919861
13	4.580150638
14	4.503353918
15	4.429022302
16	4.35184534
17	4.213431349
18	4.15275174
19	4.08865466
20	4.0209129
21	3.911844848
22	3.876469482
23	3.84324064
24	3.818491979
25	3.752177142
26	3.720346787
27	3.680905541
28	3.636530255
29	3.548370435
30	3.477615171
31	3.44473764
32	3.420391199
33	3.373776674
34	3.356388617
35	3.348591453
36	3.343613825
37	3.312407524
38	3.280963027
39	3.25678391
40	3.207089364
41	3.173380668
42	3.123608466
43	3.103719135
44	3.086229769
45	3.040651979
46	3.004451221
47	2.989923615
48	2.930495138
49	2.918237669
50	2.917936837
51	2.906738826
52	2.888111004
53	2.863462493
54	2.847749501
55	2.839658064
56	2.811055717
57	2.783705547
58	2.770086553
59	2.739914543
60	2.672183589
61	2.643490583
62	2.616234584
63	2.604408552
64	2.590850503
65	2.565383125
66	2.517765114
67	2.477497804
68	2.469020063
69	2.447378527
70	2.429185375
71	2.403810954
72	2.389906788
73	2.353217968
74	2.314392331
75	2.299562383
76	2.285744997
77	2.218067675
78	2.183905016
79	2.15150576
80	2.129028948
81	2.1195017
82	2.092747958
83	2.019860189
84	2.00700989
85	1.99030012
86	1.980717512
87	1.973404274
88	1.960469072
89	1.940864574
90	1.934196933
91	1.90725213
92	1.899718843
93	1.880468163
94	1.867450515
95	1.846903482
96	1.836475691
97	1.825182469
98	1.807192858
99	1.789362175
100	1.775631596
101	1.759354627
102	1.70570391
103	1.661086121
104	1.599683616
105	1.569978157
106	1.545565941
107	1.525795712
108	1.520984431
109	1.511659127
110	1.495405241
111	1.490147496
112	1.482970097
113	1.46567675
114	1.45562877
115	1.440553487
116	1.417818153
117	1.406131002
118	1.400313507
119	1.395116042
120	1.394582571
121	1.385319047
122	1.371821812
123	1.336761028
124	1.332353926
125	1.328564621
126	1.315193216
127	1.296714452
128	1.271999717
129	1.248246496
130	1.242868358
131	1.235651907
132	1.223481241
133	1.215436328
134	1.212530037
135	1.206539099
136	1.199546968
137	1.193541339
138	1.184789508
139	1.179565498
140	1.175256518
141	1.171289266
142	1.165961589
143	1.152301465
144	1.144977565
145	1.129563186
146	1.125537033
147	1.123524619
148	1.115298518
149	1.110206571
150	1.105333352
151	1.099057085
152	1.091517404
153	1.088483507
154	1.084652716
155	1.076745601
156	1.072603966
157	1.068289406
158	1.063355145
159	1.05499843
160	1.047183265
161	1.042288376
162	1.039523288
163	1.019426995
164	1.014121747
165	1.012001951
166	1.008744966
167	1.003093971
168	0.9969898887
169	0.9954324033
170	0.9893123466
171	0.9814683969
172	0.9794926223
173	0.9738987487
174	0.9554144381
175	0.9405072278
176	0.9362355521
177	0.9322327416
178	0.9279888294
179	0.9249413177
180	0.9160661321
181	0.910591453
182	0.9058860123
183	0.9043337642
184	0.8787768961
185	0.8767743101
186	0.8708129837
187	0.8517311351
188	0.8464274148
189	0.8413637564
190	0.8337112438
191	0.8300823952
192	0.8283608469
193	0.8223129184
194	0.8187507881
195	0.8034409628
196	0.7998591526
197	0.797327822
198	0.792446803
199	0.7863326122
200	0.7811732151
201	0.7754448234
202	0.7720247515
203	0.7682042528
204	0.7654455922
205	0.7588537953
206	0.7365494066
207	0.7353437665
208	0.7331779339
209	0.7298455567
210	0.7291668236
211	0.7253913093
212	0.7213293605
213	0.7187250322
214	0.7143837797
215	0.7106509216
216	0.703997829
217	0.7025211599
218	0.70158098
219	0.6975156302
220	0.6960613382
221	0.6947205193
222	0.691211406
223	0.6831932183
224	0.6816381782
225	0.6776281803
226	0.6751032655
227	0.6668620355
228	0.6640603032
229	0.6605662897
230	0.6573264537
231	0.650760972
232	0.6460878316
233	0.6440032513
234	0.6406951335
235	0.6393609679
236	0.6371402559
237	0.6335124162
238	0.6267704381
239	0.6244181203
240	0.6178054424
241	0.6169077565
242	0.6141095415
243	0.6123603872
244	0.6097537172
245	0.6069142619
246	0.604295859
247	0.5989708812
248	0.5864267032
249	0.581687587
250	0.5767240076
251	0.5727462731
252	0.5681324278
253	0.5660811694
254	0.5642186853
255	0.5560402471
256	0.5541670404
257	0.553454524
258	0.5526982039
259	0.551464788
260	0.5491638618
261	0.5387996554
262	0.5365581695
263	0.5349051492
264	0.5272934882
265	0.5244994003
266	0.5223035026
267	0.5206555296
268	0.5182713526
269	0.5135265501
270	0.5097324112
271	0.505598252
272	0.505317948
273	0.5047409211
274	0.5010523172
275	0.4998204197
276	0.497257162
277	0.4891872441
278	0.4865035354
279	0.4824302722
280	0.4758669395
281	0.4728711933
282	0.4712623803
283	0.4683479558
284	0.4669979666
285	0.4631477095
286	0.4615749297
287	0.4560604571
288	0.4541125478
289	0.4516607858
290	0.4510297086
291	0.4496557364
292	0.4449257993
293	0.4437937672
294	0.4393881551
295	0.4379229094
296	0.4327016805
297	0.4309487803
298	0.4290433011
299	0.4269376004
300	0.4246905885
301	0.4239170041
302	0.4212858236
303	0.4166148553
304	0.415116389
305	0.4125660669
306	0.4105538885
307	0.4087668217
308	0.4054009716
309	0.3966534029
310	0.3937388986
311	0.3920102297
312	0.3900168946
313	0.3888135625
314	0.3859163434
315	0.3856360112
316	0.383998894
317	0.3837505823
318	0.3816311367
319	0.3811313396
320	0.3794353991
321	0.3784901097
322	0.3759587938
323	0.3725013339
324	0.3710069029
325	0.369118282
326	0.368474609
327	0.3676406687
328	0.3670123717
329	0.3652290206
330	0.3645012436
331	0.3625487141
332	0.3599632756
333	0.3592234872
334	0.3509811605
335	0.349829123
336	0.347497737
337	0.3448092293
338	0.3446823637
339	0.3429687312
340	0.3422378664
341	0.3410984092
342	0.3399413297
343	0.337292476
344	0.3349054288
345	0.3326506412
346	0.3302833368
347	0.3292235803
348	0.328887141
349	0.3270501239
350	0.3266965245
351	0.3259644845
352	0.3246852492
353	0.3237530889
354	0.3218326234
355	0.3202259187
356	0.3183024671
357	0.3169097273
358	0.3129108176
359	0.3117750953
360	0.3106159129
361	0.3092948672
362	0.3073530329
363	0.3061059517
364	0.3045021998
365	0.3017522662
366	0.3009838369
367	0.2997499407
368	0.297305459
369	0.2963991979
370	0.2955827464
371	0.2941633174
372	0.2921898103
373	0.2906319615
374	0.2885514862
375	0.2881399273
376	0.2872679834
377	0.2868191916
378	0.285123495
379	0.2842202021
380	0.2839005212
381	0.2819445134
382	0.2815228152
383	0.2807414538
384	0.2799933969
385	0.2790624917
386	0.2739999614
387	0.2727800314
388	0.2717331438
389	0.2703197788
390	0.2684851355
391	0.2671511332
392	0.265768165
393	0.2654139061
394	0.2645120866
395	0.2643011869
396	0.2630792458
397	0.2612612009
398	0.2566171252
399	0.2561147935
400	0.2550624713
401	0.2532426066
402	0.2527939874
403	0.2515494818
404	0.2504200094
405	0.250069658
406	0.2496304144
407	0.248585875
408	0.2478580833
409	0.2473647394
